year,LA_2023,age_group_code,age_group,inactive,fairly_active,active,active_inactive_gap,fairly_inactive_gap
3,139,6,55-64,0.1703320113253689,0.0,0.1707151929789235,0.00038318165355460954,-0.1703320113253689
3,139,7,65-74,0.0,0.076560299331403,0.338459638870017,0.338459638870017,0.076560299331403
3,139,8,75-84,0.0,0.0,0.205130163646651,0.205130163646651,0.0
3,139,9,85+,0.0,1.0,0.0,0.0,1.0
3,142,2,16-24,0.0,0.0,0.1448538935702267,0.1448538935702267,0.0
3,142,3,25-34,0.0,0.0,0.1006765865082656,0.1006765865082656,0.0
3,142,4,35-44,0.0893187017919742,0.1090923968855487,0.055343113320985,-0.03397558847098919,0.019773695093574503
3,142,5,45-54,0.0,0.0,0.1917148914941278,0.1917148914941278,0.0
3,142,6,55-64,0.0,0.0,0.0383432399181093,0.0383432399181093,0.0
3,142,7,65-74,0.0,0.0,0.0,0.0,0.0
3,142,8,75-84,0.068704822755914,,0.0,-0.068704822755914,
3,142,9,85+,,0.0,0.0,,
3,147,2,16-24,0.1277846585439426,0.0,0.1683333159872749,0.0405486574433323,-0.1277846585439426
3,147,3,25-34,0.0,0.0,0.0363666426049155,0.0363666426049155,0.0
3,147,4,35-44,0.0,0.0,0.0911950309648269,0.0911950309648269,0.0
3,147,5,45-54,0.0,0.0,0.0700582480521682,0.0700582480521682,0.0
3,147,6,55-64,0.0,0.0,0.0726465761282723,0.0726465761282723,0.0
3,147,7,65-74,0.0,0.0,0.0857529010478569,0.0857529010478569,0.0
3,147,8,75-84,0.0,0.1356455364821819,0.0312293735399713,0.0312293735399713,0.1356455364821819
3,147,9,85+,,,0.0,,
3,160,2,16-24,0.4708002229195766,0.0,0.2240301796049892,-0.24677004331458743,-0.4708002229195766
3,160,3,25-34,0.0,0.0840983639750481,0.0147231527366195,0.0147231527366195,0.0840983639750481
3,160,4,35-44,0.2644264156345304,0.0446779251032474,0.0557533326604675,-0.2086730829740629,-0.219748490531283
3,160,5,45-54,0.112721934617735,0.0,0.1291545664866231,0.016432631868888103,-0.112721934617735
3,160,6,55-64,0.071219844756714,0.0,0.2163757659395206,0.1451559211828066,-0.071219844756714
3,160,7,65-74,0.0,,0.0247387954368012,0.0247387954368012,
3,160,8,75-84,0.0,0.3358921162070048,0.2082501598896848,0.2082501598896848,0.3358921162070048
3,160,9,85+,0.0,,0.0,0.0,
3,171,2,16-24,0.0,0.0,0.2665733571365734,0.2665733571365734,0.0
3,171,3,25-34,0.0,0.0360048719010108,0.2221930703462345,0.2221930703462345,0.0360048719010108
3,171,4,35-44,0.0,0.0,0.0695450271008018,0.0695450271008018,0.0
3,171,5,45-54,0.1756276227115621,0.0,0.0450887053827794,-0.1305389173287827,-0.1756276227115621
3,171,6,55-64,0.0,0.0,0.1924597668883677,0.1924597668883677,0.0
3,171,7,65-74,0.0743640533832764,0.0,0.1857459127482121,0.11138185936493569,-0.0743640533832764
3,171,8,75-84,0.0,0.0,0.0,0.0,0.0
3,171,9,85+,0.0,,,,
3,196,2,16-24,,0.0,0.1425773718035933,,
3,196,3,25-34,0.2864244790835692,0.3263131152451854,0.0358824497013026,-0.2505420293822666,0.0398886361616162
3,196,4,35-44,0.0,0.1410346730274952,0.1473793831420092,0.1473793831420092,0.1410346730274952
3,196,5,45-54,0.0,0.0,0.2084646925493886,0.2084646925493886,0.0
3,196,6,55-64,0.0320990873929135,0.0,0.1203948962843051,0.0882958088913916,-0.0320990873929135
3,196,7,65-74,0.0,0.0,0.0128527233479465,0.0128527233479465,0.0
3,196,8,75-84,0.0,0.0,0.0850849223651757,0.0850849223651757,0.0
3,196,9,85+,0.0,,,,
3,201,2,16-24,,0.0,0.1242851741377379,,
3,201,3,25-34,0.0,0.0,0.1481043054875407,0.1481043054875407,0.0
3,201,4,35-44,0.0,0.2749943483843379,0.1961305249579746,0.1961305249579746,0.2749943483843379
3,201,5,45-54,0.0,0.0,0.2714319241070905,0.2714319241070905,0.0
3,201,6,55-64,0.0,0.0962290133337217,0.1035525242206318,0.1035525242206318,0.0962290133337217
3,201,7,65-74,0.0616398701148014,0.0476638870754341,0.0680519348732719,0.006412064758470497,-0.013975983039367298
3,201,8,75-84,0.0,0.1721746692509378,0.0,0.0,0.1721746692509378
3,201,9,85+,,,0.0,,
3,241,2,16-24,0.0,0.4464660970766214,0.1562819331026738,0.1562819331026738,0.4464660970766214
3,241,3,25-34,0.0,0.3111949603268093,0.0450389825257279,0.0450389825257279,0.3111949603268093
