LA_2023,disability_group,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
279,no_disability,8,0,333.5,308,0.0,False,False,False
279,non_limiting_disability,8,0,71.5,60,0.0,False,False,False
280,disty1,8,8,21.5,13,1.0,True,False,True
280,disty10,8,8,3.0,1,1.0,True,False,True
280,disty11,5,5,2.0,1,1.0,True,True,True
280,disty12,8,8,4.5,1,1.0,True,False,True
280,disty13,8,8,3.5,1,1.0,True,False,True
280,disty2,8,8,18.0,12,1.0,True,False,True
280,disty3,8,6,23.0,18,0.75,True,False,True
280,disty4,8,8,5.5,2,1.0,True,False,True
280,disty5,8,6,17.5,8,0.75,True,False,True
280,disty6,8,8,3.0,1,1.0,True,False,True
280,disty7,8,8,14.5,9,1.0,True,False,True
280,disty8,8,8,6.0,4,1.0,True,False,True
280,disty9,8,8,5.5,3,1.0,True,False,True
280,limiting_disability,8,0,47.5,38,0.0,False,False,False
280,no_disability,8,0,346.0,329,0.0,False,False,False
280,non_limiting_disability,8,0,70.0,59,0.0,False,False,False
293,disty1,8,2,34.0,27,0.25,False,False,False
293,disty10,8,8,5.5,2,1.0,True,False,True
293,disty11,7,7,3.0,1,1.0,True,True,True
293,disty12,8,8,10.0,6,1.0,True,False,True
293,disty13,8,8,3.5,1,1.0,True,False,True
293,disty2,8,5,26.0,23,0.625,True,False,True
293,disty3,8,1,37.5,25,0.125,False,False,False
293,disty4,8,8,13.5,9,1.0,True,False,True
293,disty5,8,6,24.0,13,0.75,True,False,True
293,disty6,8,8,8.0,5,1.0,True,False,True
293,disty7,8,8,16.0,11,1.0,True,False,True
293,disty8,8,8,13.0,5,1.0,True,False,True
293,disty9,8,8,10.0,4,1.0,True,False,True
293,limiting_disability,8,0,69.5,47,0.0,False,False,False
293,no_disability,8,0,325.5,289,0.0,False,False,False
293,non_limiting_disability,8,0,75.0,57,0.0,False,False,False
30,disty1,8,1,36.5,27,0.125,False,False,False
30,disty10,7,7,5.0,2,1.0,True,True,True
30,disty11,7,7,4.0,2,1.0,True,True,True
30,disty12,8,8,8.5,4,1.0,True,False,True
30,disty13,8,8,6.0,3,1.0,True,False,True
30,disty2,8,3,30.5,25,0.375,False,False,False
30,disty3,8,2,37.5,28,0.25,False,False,False
30,disty4,8,8,9.5,5,1.0,True,False,True
30,disty5,8,5,19.0,13,0.625,True,False,True
30,disty6,8,8,6.5,3,1.0,True,False,True
30,disty7,8,8,19.5,14,1.0,True,False,True
30,disty8,8,8,13.5,7,1.0,True,False,True
30,disty9,8,8,10.0,6,1.0,True,False,True
30,limiting_disability,8,0,64.0,52,0.0,False,False,False
30,no_disability,8,0,331.5,320,0.0,False,False,False
30,non_limiting_disability,8,0,62.5,52,0.0,False,False,False
35,disty1,8,2,36.5,28,0.25,False,False,False
35,disty10,8,8,3.0,1,1.0,True,False,True
35,disty11,7,7,3.0,1,1.0,True,True,True
35,disty12,8,8,6.5,2,1.0,True,False,True
35,disty13,8,8,5.0,2,1.0,True,False,True
35,disty2,8,8,21.0,18,1.0,True,False,True
35,disty3,8,0,40.5,35,0.0,False,False,False
35,disty4,8,8,12.0,10,1.0,True,False,True
35,disty5,8,7,22.5,10,0.875,True,False,True
35,disty6,8,8,4.0,3,1.0,True,False,True
35,disty7,8,8,16.5,11,1.0,True,False,True
35,disty8,8,8,10.5,7,1.0,True,False,True
35,disty9,8,8,9.5,5,1.0,True,False,True
35,limiting_disability,8,0,67.0,56,0.0,False,False,False
35,no_disability,8,0,300.5,290,0.0,False,False,False
35,non_limiting_disability,8,0,81.5,77,0.0,False,False,False
44,disty1,8,3,31.0,26,0.375,False,False,False
44,disty10,8,8,4.5,3,1.0,True,False,True
44,disty11,8,8,3.0,2,1.0,True,False,True
44,disty12,8,8,8.0,3,1.0,True,False,True
44,disty13,8,8,5.5,2,1.0,True,False,True
44,disty2,8,3,30.5,24,0.375,False,False,False
44,disty3,8,0,41.0,31,0.0,False,False,False
44,disty4,8,8,12.0,7,1.0,True,False,True
44,disty5,8,3,32.5,21,0.375,False,False,False
44,disty6,8,8,8.5,6,1.0,True,False,True
44,disty7,8,8,19.5,13,1.0,True,False,True
44,disty8,8,8,15.0,7,1.0,True,False,True
44,disty9,8,8,10.5,8,1.0,True,False,True
44,limiting_disability,8,0,72.5,59,0.0,False,False,False
44,no_disability,8,0,315.5,287,0.0,False,False,False
44,non_limiting_disability,8,0,76.5,58,0.0,False,False,False
68,disty1,8,1,37.5,24,0.125,False,False,False
68,disty10,8,8,3.0,1,1.0,True,False,True
68,disty11,8,8,2.5,1,1.0,True,False,True
68,disty12,8,8,7.0,3,1.0,True,False,True
68,disty13,8,8,4.5,2,1.0,True,False,True
68,disty2,8,7,24.5,18,0.875,True,False,True
68,disty3,8,1,37.0,29,0.125,False,False,False
68,disty4,8,8,12.0,7,1.0,True,False,True
68,disty5,8,6,23.0,14,0.75,True,False,True
68,disty6,8,8,6.0,4,1.0,True,False,True
68,disty7,8,8,18.0,14,1.0,True,False,True
68,disty8,8,8,12.0,6,1.0,True,False,True
68,disty9,8,8,8.0,4,1.0,True,False,True
68,limiting_disability,8,0,70.0,57,0.0,False,False,False
68,no_disability,8,0,323.0,288,0.0,False,False,False
68,non_limiting_disability,8,0,72.0,57,0.0,False,False,False
78,disty1,8,4,31.0,25,0.5,True,False,True
78,disty10,7,7,3.0,1,1.0,True,True,True
78,disty11,6,6,2.0,1,1.0,True,True,True
78,disty12,8,8,6.0,3,1.0,True,False,True
78,disty13,8,8,5.5,2,1.0,True,False,True
78,disty2,8,7,23.0,14,0.875,True,False,True
78,disty3,8,3,31.0,19,0.375,False,False,False
78,disty4,8,8,6.5,2,1.0,True,False,True
78,disty5,8,8,20.0,11,1.0,True,False,True
78,disty6,8,8,5.0,2,1.0,True,False,True
78,disty7,8,8,17.0,14,1.0,True,False,True
78,disty8,8,8,7.5,4,1.0,True,False,True
78,disty9,8,8,9.0,5,1.0,True,False,True
78,limiting_disability,8,0,62.0,45,0.0,False,False,False
78,no_disability,8,0,327.0,317,0.0,False,False,False
78,non_limiting_disability,8,0,75.5,60,0.0,False,False,False
8,disty1,8,0,47.0,42,0.0,False,False,False
8,disty10,7,7,8.0,3,1.0,True,True,True
8,disty11,8,8,4.0,1,1.0,True,False,True
8,disty12,8,8,13.0,3,1.0,True,False,True
8,disty13,8,8,6.0,4,1.0,True,False,True
8,disty2,8,4,30.0,23,0.5,True,False,True
8,disty3,8,0,47.5,36,0.0,False,False,False
8,disty4,8,8,10.5,4,1.0,True,False,True
8,disty5,8,3,38.0,21,0.375,False,False,False
8,disty6,8,8,10.0,5,1.0,True,False,True
8,disty7,8,4,31.0,18,0.5,True,False,True
8,disty8,8,8,14.0,7,1.0,True,False,True
8,disty9,8,8,13.5,5,1.0,True,False,True
8,limiting_disability,8,0,87.0,73,0.0,False,False,False
8,no_disability,8,0,318.5,294,0.0,False,False,False
8,non_limiting_disability,8,0,68.5,44,0.0,False,False,False
9,disty1,8,3,33.0,26,0.375,False,False,False
9,disty10,7,7,3.0,1,1.0,True,True,True
9,disty11,6,6,2.5,1,1.0,True,True,True
9,disty12,8,8,7.5,5,1.0,True,False,True
9,disty13,8,8,6.5,3,1.0,True,False,True
9,disty2,8,3,30.5,12,0.375,False,False,False
9,disty3,8,2,37.0,28,0.25,False,False,False
9,disty4,8,8,11.0,8,1.0,True,False,True
9,disty5,8,8,23.5,12,1.0,True,False,True
9,disty6,8,8,6.0,2,1.0,True,False,True
9,disty7,8,6,13.0,8,0.75,True,False,True
9,disty8,8,8,10.0,6,1.0,True,False,True
9,disty9,8,8,9.5,7,1.0,True,False,True
9,limiting_disability,8,0,71.0,49,0.0,False,False,False
9,no_disability,8,0,333.0,288,0.0,False,False,False
9,non_limiting_disability,8,0,82.5,57,0.0,False,False,False
91,disty1,8,0,43.0,36,0.0,False,False,False
91,disty10,8,8,4.5,2,1.0,True,False,True
91,disty11,8,8,4.0,2,1.0,True,False,True
91,disty12,8,8,8.5,5,1.0,True,False,True
91,disty13,8,8,6.0,3,1.0,True,False,True
91,disty2,8,4,32.5,18,0.5,True,False,True
91,disty3,8,0,48.5,35,0.0,False,False,False
91,disty4,8,8,15.5,7,1.0,True,False,True
91,disty5,8,6,26.5,19,0.75,True,False,True
91,disty6,8,8,8.0,1,1.0,True,False,True
91,disty7,8,6,25.0,16,0.75,True,False,True
