year,forecast_horizon,LA_2023,age_group_code,age_group,inactive_rate,fairly_active_rate,active_rate,active_inactive_gap_pp,fairly_active_inactive_gap_pp
12,4,136,8,75-84,0.06965213822872043,0.05753141370336025,0.10101238724464827,3.1360249015927835,-1.2120724525360185
12,4,136,9,85+,0.03236916478534387,0.0745735571999926,0.058573573616542515,2.6204408831198642,4.220439241464873
12,4,139,2,16-24,0.09776885639313833,0.08642342866676969,0.17659093239871376,7.882207600557543,-1.1345427726368638
12,4,139,3,25-34,0.08642342866676969,0.08642342866676969,0.11424585756947235,2.782242890270266,0.0
12,4,139,4,35-44,0.08642342866676969,0.08642342866676969,0.13074416773913713,4.432073907236744,0.0
12,4,139,5,45-54,0.08642342866676969,0.08642342866676969,0.15909428011782176,7.267085145105207,0.0
12,4,139,6,55-64,0.08642342866676969,0.08642342866676969,0.13123572669373967,4.4812298026969986,0.0
12,4,139,7,65-74,0.07631158005474582,0.08642342866676969,0.134187179737749,5.787559968300317,1.0111848612023868
12,4,139,8,75-84,0.07801919289441742,0.07635475399129968,0.11286225871142536,3.484306581700794,-0.16644389031177376
12,4,139,9,85+,0.07655882225685053,0.08642342866676969,0.07572172399522696,-0.08370982616235645,0.9864606409919165
12,4,142,2,16-24,0.08907149740807886,0.0745735571999926,0.1647410609319367,7.566956352385783,-1.4497940208086257
12,4,142,3,25-34,0.0745735571999926,0.0745735571999926,0.10402927597486862,2.945571877487602,0.0
12,4,142,4,35-44,0.0745735571999926,0.0745735571999926,0.11915693657198588,4.458337937199327,0.0
12,4,142,5,45-54,0.0745735571999926,0.0745735571999926,0.14724440865104468,7.267085145105208,0.0
12,4,142,6,55-64,0.0745735571999926,0.0745735571999926,0.12170208211155964,4.712852491156704,0.0
12,4,142,7,65-74,0.06760544534572609,0.0745735571999926,0.12465353515556885,5.704808980984276,0.6968111854266518
12,4,142,8,75-84,0.06965213822872043,0.05753141370336025,0.10101238724464827,3.1360249015927835,-1.2120724525360185
12,4,142,9,85+,0.03236916478534387,0.0745735571999926,0.058573573616542515,2.6204408831198642,4.220439241464873
12,4,147,2,16-24,0.08907149740807886,0.0745735571999926,0.1647410609319367,7.566956352385783,-1.4497940208086257
12,4,147,3,25-34,0.0745735571999926,0.0745735571999926,0.10402927597486862,2.945571877487602,0.0
12,4,147,4,35-44,0.0745735571999926,0.0745735571999926,0.11915693657198588,4.458337937199327,0.0
12,4,147,5,45-54,0.0745735571999926,0.0745735571999926,0.14724440865104468,7.267085145105208,0.0
