series_id,LA_2023,age_group_code,age_group,activity_level_3cat,activity_level_3cat_label,year8_observed_rate,initial_year8_lag_observed,task,year,forecast_horizon,frequent_volunteer_rate_lag1,lag_1_missing,time_trend,borough_category,age_activity_group,selected_model,raw_predicted_rate,predicted_rate,was_clipped,lag_source,predicted_rate_pp,change_from_year8_pp
borough_114__age_5__activity_1,114,5,45-54,1,fairly_active,0.0,True,borough_age_activity,9,1,0.0,0,6,114,45-54__fairly_active,Gradient Boosting,0.0552685524102014,0.0552685524102014,False,observed_year8,5.52685524102014,5.52685524102014
borough_114__age_5__activity_2,114,5,45-54,2,active,0.2421277566063444,True,borough_age_activity,9,1,0.2421277566063444,0,6,114,45-54__active,Gradient Boosting,0.1531302055975987,0.1531302055975987,False,observed_year8,15.31302055975987,-8.899755100874568
borough_114__age_6__activity_0,114,6,55-64,0,inactive,0.0,True,borough_age_activity,9,1,0.0,0,6,114,55-64__inactive,Gradient Boosting,0.05143587044872381,0.05143587044872381,False,observed_year8,5.143587044872381,5.143587044872381
borough_114__age_6__activity_1,114,6,55-64,1,fairly_active,0.1203068827542424,True,borough_age_activity,9,1,0.1203068827542424,0,6,114,55-64__fairly_active,Gradient Boosting,0.07236891474602186,0.07236891474602186,False,observed_year8,7.236891474602186,-4.7937968008220535
borough_114__age_6__activity_2,114,6,55-64,2,active,0.0818002877643265,True,borough_age_activity,9,1,0.0818002877643265,0,6,114,55-64__active,Gradient Boosting,0.13005434105613975,0.13005434105613975,False,observed_year8,13.005434105613976,4.825405329181325
borough_114__age_7__activity_0,114,7,65-74,0,inactive,0.0,True,borough_age_activity,9,1,0.0,0,6,114,65-74__inactive,Gradient Boosting,0.044200020271996765,0.044200020271996765,False,observed_year8,4.4200020271996765,4.4200020271996765
borough_114__age_7__activity_1,114,7,65-74,1,fairly_active,0.1080751245454708,True,borough_age_activity,9,1,0.1080751245454708,0,6,114,65-74__fairly_active,Gradient Boosting,0.0745735571999926,0.0745735571999926,False,observed_year8,7.457355719999261,-3.3501567345478196
borough_114__age_7__activity_2,114,7,65-74,2,active,0.0423543201783982,True,borough_age_activity,9,1,0.0423543201783982,0,6,114,65-74__active,Gradient Boosting,0.12742229466986332,0.12742229466986332,False,observed_year8,12.742229466986332,8.506797449146513
borough_114__age_8__activity_0,114,8,75-84,0,inactive,0.0,True,borough_age_activity,9,1,0.0,0,6,114,75-84__inactive,Gradient Boosting,0.04172028694255705,0.04172028694255705,False,observed_year8,4.1720286942557046,4.1720286942557046
borough_114__age_8__activity_1,114,8,75-84,1,fairly_active,0.0,True,borough_age_activity,9,1,0.0,0,6,114,75-84__fairly_active,Gradient Boosting,0.03570170184520261,0.03570170184520261,False,observed_year8,3.5701701845202614,3.5701701845202614
borough_114__age_8__activity_2,114,8,75-84,2,active,0.2683040003701794,True,borough_age_activity,9,1,0.2683040003701794,0,6,114,75-84__active,Gradient Boosting,0.09891621950178361,0.09891621950178361,False,observed_year8,9.891621950178362,-16.938778086839577
borough_114__age_9__activity_0,114,9,85+,0,inactive,0.0,True,borough_age_activity,9,1,0.0,0,6,114,85+__inactive,Gradient Boosting,0.03356019068905464,0.03356019068905464,False,observed_year8,3.3560190689054643,3.3560190689054643
borough_114__age_9__activity_1,114,9,85+,1,fairly_active,,False,borough_age_activity,9,1,,1,6,114,85+__fairly_active,Gradient Boosting,0.04634175498740289,0.04634175498740289,False,missing_year8,4.634175498740289,
borough_114__age_9__activity_2,114,9,85+,2,active,0.0,True,borough_age_activity,9,1,0.0,0,6,114,85+__active,Gradient Boosting,0.039291075242614805,0.039291075242614805,False,observed_year8,3.9291075242614806,3.9291075242614806
borough_117__age_2__activity_0,117,2,16-24,0,inactive,0.7305360924257014,True,borough_age_activity,9,1,0.7305360924257014,0,6,117,16-24__inactive,Gradient Boosting,0.0869753296652142,0.0869753296652142,False,observed_year8,8.69753296652142,-64.35607627604873
borough_117__age_2__activity_1,117,2,16-24,1,fairly_active,0.0,True,borough_age_activity,9,1,0.0,0,6,117,16-24__fairly_active,Gradient Boosting,0.05143587044872381,0.05143587044872381,False,observed_year8,5.143587044872381,5.143587044872381
borough_117__age_2__activity_2,117,2,16-24,2,active,0.362776079277293,True,borough_age_activity,9,1,0.362776079277293,0,6,117,16-24__active,Gradient Boosting,0.16743439616327696,0.16743439616327696,False,observed_year8,16.743439616327695,-19.534168311401604
borough_117__age_3__activity_0,117,3,25-34,0,inactive,0.0586815816394471,True,borough_age_activity,9,1,0.0586815816394471,0,6,117,25-34__inactive,Gradient Boosting,0.06927527828808526,0.06927527828808526,False,observed_year8,6.927527828808526,1.0593696648638158
borough_117__age_3__activity_1,117,3,25-34,1,fairly_active,0.3639147836815409,True,borough_age_activity,9,1,0.3639147836815409,0,6,117,25-34__fairly_active,Gradient Boosting,0.07247738945712794,0.07247738945712794,False,observed_year8,7.247738945712793,-29.143739422441296
borough_117__age_3__activity_2,117,3,25-34,2,active,0.1595090460129845,True,borough_age_activity,9,1,0.1595090460129845,0,6,117,25-34__active,Gradient Boosting,0.09739121809844863,0.09739121809844863,False,observed_year8,9.739121809844862,-6.211782791453587
borough_117__age_4__activity_0,117,4,35-44,0,inactive,0.0797795806952353,True,borough_age_activity,9,1,0.0797795806952353,0,6,117,35-44__inactive,Gradient Boosting,0.0745735571999926,0.0745735571999926,False,observed_year8,7.457355719999261,-0.5206023495242698
